study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Hockaday_Grannas_Kim_etal_2006,Hockaday,William C. Hockaday;Amanda M. Grannas;Sunghwan Kim;Patrick G. Hatcher,2006,Direct molecular evidence for the degradation and mobility of black carbon in soils from ultrahigh-resolution mass spectral analysis of dissolved organic matter from a fire-impacted forest soil,Organic Geochemistry,article,https://doi.org/10.1016/j.orggeochem.2005.11.003,https://doi.org/10.1016/j.orggeochem.2005.11.003,OpenAlex
Bartsch_Balzter_George_2009,Bartsch,Annett Bartsch;Heiko Balzter;Charles George,2009,The influence of regional surface soil moisture anomalies on forest fires in Siberia observed from satellites,Environmental Research Letters,article,https://doi.org/10.1088/1748-9326/4/4/045021,https://doi.org/10.1088/1748-9326/4/4/045021,OpenAlex
Talbot_Rahlf_Astrup_2017,Talbot,Bruce Talbot;Johannes Rahlf;Rasmus Astrup,2017,An operational UAV-based approach for stand-level assessment of soil disturbance after forest harvesting,Scandinavian Journal of Forest Research,article,https://doi.org/10.1080/02827581.2017.1418421,https://doi.org/10.1080/02827581.2017.1418421,OpenAlex
Kasischke_Bourgeau‐Chavez_Johnstone_2006,Kasischke,Eric S. Kasischke;Laura Bourgeau‐Chavez;Jill F. Johnstone,2006,Assessing spatial and temporal variations in surface soil moisture in fire-disturbed black spruce forests in Interior Alaska using spaceborne synthetic aperture radar imagery — Implications for post-fire tree recruitment,Remote Sensing of Environment,article,https://doi.org/10.1016/j.rse.2006.10.020,https://doi.org/10.1016/j.rse.2006.10.020,OpenAlex
Keeley_2009,Keeley,Jon E. Keeley,2009,"Fire intensity, fire severity and burn severity: a brief review and suggested usage",International Journal of Wildland Fire,review,https://doi.org/10.1071/wf07049,https://doi.org/10.1071/wf07049,OpenAlex
Sewell_Quideau_Dyck_etal_2020,Sewell,Paul D. Sewell;Sylvie A. Quideau;Miles Dyck;S. Ellen Macdonald,2020,Long-term effects of harvest on boreal forest soils in relation to a remote sensing-based soil moisture index,Forest Ecology and Management,article,https://doi.org/10.1016/j.foreco.2020.117986,https://doi.org/10.1016/j.foreco.2020.117986,OpenAlex
Lewis_Robichaud_Archer_etal_2023,Lewis,Sarah A. Lewis;Peter R. Robichaud;Vince Archer;Andrew T. Hudak;Jan U.H. Eitel;Eva K. Strand,2023,Informing Sustainable Forest Management: Remote Sensing Strategies for Assessing Soil Disturbance after Wildfire and Salvage Logging,Forests,article,https://doi.org/10.3390/f14112218,https://doi.org/10.3390/f14112218,OpenAlex
Wang_Qu_Hao_2012,Wang,Lingli Wang;John J. Qu;Xianjun Hao,2012,Remote Sensing of Soil and Vegetation Moisture from Space for Monitoring Drought and Forest Fire Events,CRC Press eBooks,book-chapter,https://doi.org/10.1201/b11279-21,https://doi.org/10.1201/b11279-21,OpenAlex
Radeloff_Mladenoff_Boyce_2000,Radeloff,Volker C. Radeloff;David J. Mladenoff;Mark S. Boyce,2000,EFFECTS OF INTERACTING DISTURBANCES ON LANDSCAPE PATTERNS: BUDWORM DEFOLIATION AND SALVAGE LOGGING,Ecological Applications,article,https://doi.org/10.1890/1051-0761(2000)010[0233:eoidol]2.0.co;2,https://doi.org/10.1890/1051-0761(2000)010[0233:eoidol]2.0.co;2,OpenAlex
White_Ryan_Key_etal_1996,White,JD White;KC Ryan;C Key;SW Running,1996,Remote Sensing of Forest Fire Severity and Vegetation Recovery,International Journal of Wildland Fire,article,https://doi.org/10.1071/wf9960125,https://doi.org/10.1071/wf9960125,OpenAlex
Lee_Choi_Min_2004,Lee,Saro Lee;Jaewon Choi;Kyungha Min,2004,"Probabilistic landslide hazard mapping using GIS and remote sensing data at Boun, Korea",International Journal of Remote Sensing,article,https://doi.org/10.1080/01431160310001618734,https://doi.org/10.1080/01431160310001618734,OpenAlex
Asner_Keller_Pereira_etal_2004,Asner,Gregory P. Asner;Michael Keller;Rodrigo Moura Pereira;J. Zweede;José Natalino Macedo Silva,2004,CANOPY DAMAGE AND RECOVERY AFTER SELECTIVE LOGGING IN AMAZONIA: FIELD AND SATELLITE STUDIES,Ecological Applications,article,https://doi.org/10.1890/01-6019,https://doi.org/10.1890/01-6019,OpenAlex
Nepstad_Lefebvre_Silva_etal_2004,Nepstad,Daniel C. Nepstad;Paul A. Lefebvre;Urbano Lopes da Silva;Javier Tomasella;Peter Schlesinger;Luiz Solórzano;Paulo Moutinho;David Ray;José Guerreira Benito,2004,Amazon drought and its implications for forest flammability and tree growth: a basin‐wide analysis,Global Change Biology,article,https://doi.org/10.1111/j.1529-8817.2003.00772.x,https://doi.org/10.1111/j.1529-8817.2003.00772.x,OpenAlex
Chapin_McGuire_Randerson_etal_2000,Chapin,F. Stuart Chapin;A. D. McGuire;J. T. Randerson;R. A. Pielke;Dennis Baldocchi;Sarah E. Hobbie;Nigel T. Roulet;Werner Eugster;Eric S. Kasischke;Edward B. Rastetter;S. A. Zimov;Steven W. Running,2000,Arctic and boreal ecosystems of western North America as components of the climate system,Global Change Biology,article,https://doi.org/10.1046/j.1365-2486.2000.06022.x,https://doi.org/10.1046/j.1365-2486.2000.06022.x,OpenAlex
Tong_Brandt_Yue_etal_2020,Tong,Xiaowei Tong;Martin Brandt;Yuemin Yue;Philippe Ciais;Martin Rudbeck Jepsen;Josep Peñuelas;Jean‐Pierre Wigneron;Xiangming Xiao;Xiao‐Peng Song;Stéphanie Horion;Kjeld Rasmussen;Sassan Saatchi;Lei Fan;Kelin Wang;Bing Zhang;Zhengchao Chen;Yuhang Wang;Xiaojun Li;Rasmus Fensholt,2020,Forest management in southern China generates short term extensive carbon sequestration,Nature Communications,article,https://doi.org/10.1038/s41467-019-13798-8,https://doi.org/10.1038/s41467-019-13798-8,OpenAlex
Brown_Jorgenson_Kielland_etal_2016,Brown,Dana R. N. Brown;M. B. Jorgenson;Knut Kielland;David L. Verbyla;Anupma Prakash;Joshua C. Koch,2016,Landscape Effects of Wildfire on Permafrost Distribution in Interior Alaska Derived from Remote Sensing,Remote Sensing,article,https://doi.org/10.3390/rs8080654,https://doi.org/10.3390/rs8080654,OpenAlex
Efthimiou_Psomiadis_Panagos_2019,Efthimiou,Nikolaos Efthimiou;Emmanouil Psomiadis;Panos Panagos,2019,"Fire severity and soil erosion susceptibility mapping using multi-temporal Earth Observation data: The case of Mati fatal wildfire in Eastern Attica, Greece",CATENA,article,https://doi.org/10.1016/j.catena.2019.104320,https://doi.org/10.1016/j.catena.2019.104320,OpenAlex
Broadbent_Zarin_Asner_etal_2006,Broadbent,Eben N. Broadbent;Daniel J. Zarin;Gregory P. Asner;Marielos Peña‐Claros;Amanda Cooper;Ramon C. Littell,2006,Recovery Of Forest Structure And Spectral Properties After Selective Logging In Lowland Bolivia,Ecological Applications,article,https://doi.org/10.1890/1051-0761(2006)016[1148:rofsas]2.0.co;2,https://doi.org/10.1890/1051-0761(2006)016[1148:rofsas]2.0.co;2,OpenAlex
Pierzchała_Talbot_Astrup_2016,Pierzchała,Marek Pierzchała;Bruce Talbot;Rasmus Astrup,2016,Measuring wheel ruts with close-range photogrammetry,Forestry An International Journal of Forest Research,article,https://doi.org/10.1093/forestry/cpw009,https://doi.org/10.1093/forestry/cpw009,OpenAlex
Chen_Ju_Cihlar_etal_2003,Chen,Jing M. Chen;Weimin Ju;J. Cihlar;David T. Price;Jane Liu;Wenjun Chen;Jianjun Pan;Andy Black;Alan Barr,2003,Spatial distribution of carbon sources and sinks in Canada’s forests,Tellus B,article,https://doi.org/10.3402/tellusb.v55i2.16711,https://doi.org/10.3402/tellusb.v55i2.16711,OpenAlex
Whitman_Whitman_Woolet_etal_2019,Whitman,Thea Whitman;Ellen Whitman;Jamie Woolet;Mike Flannigan;Dan K. Thompson;Marc‐André Parisien,2019,Soil bacterial and fungal response to wildfires in the Canadian boreal forest across a burn severity gradient,Soil Biology and Biochemistry,article,https://doi.org/10.1016/j.soilbio.2019.107571,https://doi.org/10.1016/j.soilbio.2019.107571,OpenAlex
Souza_Roberts_Monteiro_2005,Souza,Carlos Souza;Dar A. Roberts;AndréL. Monteiro,2005,Multitemporal Analysis of Degraded Forests in the Southern Brazilian Amazon,Earth Interactions,article,https://doi.org/10.1175/ei132.1,https://doi.org/10.1175/ei132.1,OpenAlex
Ollinger_Smith_Martin_etal_2002,Ollinger,Scott V. Ollinger;Michelle Smith;Mary E. Martin;Richard A. Hallett;Christine L. Goodale;John D. Aber,2002,REGIONAL VARIATION IN FOLIAR CHEMISTRY AND N CYCLING AMONG FORESTS OF DIVERSE HISTORY AND COMPOSITION<sup>*</sup>,Ecology,article,https://doi.org/10.1890/0012-9658(2002)083[0339:rvifca]2.0.co;2,https://doi.org/10.1890/0012-9658(2002)083[0339:rvifca]2.0.co;2,OpenAlex
Epting_Verbyla_2005,Epting,Justin Epting;David L. Verbyla,2005,"Landscape-level interactions of prefire vegetation, burn severity, and postfire vegetation over a 16-year period in interior Alaska",Canadian Journal of Forest Research,article,https://doi.org/10.1139/x05-060,https://doi.org/10.1139/x05-060,OpenAlex
Flores_Piedade_Nelson_2012,Flores,Bernardo M. Flores;Maria Teresa Fernandez Piedade;Bruce Nelson,2012,Fire disturbance in Amazonian blackwater floodplain forests,Plant Ecology & Diversity,article,https://doi.org/10.1080/17550874.2012.716086,https://doi.org/10.1080/17550874.2012.716086,OpenAlex
Thompson_Brokaw_Zimmerman_etal_2002,Thompson,Jill Thompson;Nicholas Brokaw;Jess K. Zimmerman;Robert B. Waide;Edwin M. Everham;D. Jean Lodge;Charlotte M. Taylor;Diana C. García‐Montiel;Marcheterre Fluet,2002,"LAND USE HISTORY, ENVIRONMENT, AND TREE COMPOSITION IN A TROPICAL FOREST",Ecological Applications,article,https://doi.org/10.1890/1051-0761(2002)012[1344:luheat]2.0.co;2,https://doi.org/10.1890/1051-0761(2002)012[1344:luheat]2.0.co;2,OpenAlex
